Date:,25-Sep-14,ACTUAL,,Date:,25-Sep-14,ACTUAL,,,,,,,,
churn,25,14:20:00,,Break,30,15:45:00,,,,,,,,
fire alarm,20,14:45:00,,work,35,16:15:00,,,,,,,,
work,20,15:05:00,,subanalytics,30,16:50:00,,,,,,,,
program,55,15:25:00,,leave,,17:20:00,,,,,,,,
work,70,16:20:00,,,,,,,,,,,,
leave,,17:30:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,2-Jul-14,ACTUAL,,Date:,2-Jul-14,PLAN,,,,,,,,
wake up get ready,85,8:40:00,,wake up get ready,85,8:40:00,,,,,,,,
bike and shower,40,10:05:00,,bike and shower,40,10:05:00,,,,,,,,
plan,5,10:45:00,,plan,5,10:45:00,,,,,,,,
work,5,10:50:00,,program,15,11:00:00,,,,,,,,
program,10,10:55:00,,work,25,11:15:00,,,,,,,,
work,35,11:05:00,,break,10,11:40:00,,,,,,,,
break,10,11:40:00,,work,25,11:50:00,,,,,,,,
work,10,11:50:00,,program,30,12:15:00,,,,,,,,
coffee break,10,12:00:00,,lunch,55,12:45:00,,,,,,,,
work,10,12:10:00,,work,50,13:40:00,,,,,,,,
bathroom,5,12:20:00,,break,25,14:30:00,,,,,,,,
program,30,12:25:00,,work,50,14:55:00,,,,,,,,
lunch,55,12:55:00,,meeting,45,15:45:00,,,,,,,,
video,5,13:50:00,,work,25,16:30:00,,,,,,,,
work,30,13:55:00,,expenditures research,25,16:55:00,,,,,,,,
break,10,14:25:00,,program,35,17:30:00,,,,,,,,
work,25,14:35:00,,work,25,17:55:00,,,,,,,,
meeting,65,15:00:00,,leave,,18:20:00,,,,,,,,
expenditures research,35,16:05:00,,,,,,,,,,,,
program,10,16:40:00,,,,,,,,,,,,
break,15,16:50:00,,,,,,,,,,,,
work,25,17:05:00,,,,,,,,,,,,
leave,,17:30:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,1-Jul-14,ACTUAL,,Date:,1-Jul-14,PLAN,,,,,,,,
wake up get ready,40,9:40:00,,wake up get ready,40,9:40:00,,,,,,,,
bike to work,20,10:20:00,,bike to work,20,10:20:00,,,,,,,,
program,15,10:40:00,,program,15,10:40:00,,,,,,,,
plan,5,10:55:00,,plan,5,10:55:00,,,,,,,,
work,20,11:00:00,,work,40,11:00:00,,,,,,,,
break,10,11:20:00,,program,20,11:40:00,,,,,,,,
work,15,11:30:00,,Lunch,50,12:00:00,,,,,,,,
program,20,11:45:00,,work,50,12:50:00,,,,,,,,
lunch,40,12:05:00,,break,20,13:40:00,,,,,,,,
work,20,12:45:00,,work,50,14:00:00,,,,,,,,
break,25,13:05:00,,break,30,14:50:00,,,,,,,,
work,85,13:30:00,,work,60,15:20:00,,,,,,,,
tea time,40,14:55:00,,Break,10,16:20:00,,,,,,,,
work,40,15:35:00,,program,70,16:30:00,,,,,,,,
program,85,16:15:00,,work,15,17:40:00,,,,,,,,
leave,,17:40:00,,leave,,17:55:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,30-Jun-14,ACTUAL,,Date:,30-Jun-14,PLAN,,,,,,,,
wake up get ready,55,7:20:00,,wake up get ready,55,7:20:00,,,,,,,,
drive to work,15,8:15:00,,drive to work,15,8:15:00,,,,,,,,
bathroom,5,8:30:00,,bathroom,5,8:30:00,,,,,,,,
work,15,8:35:00,,work,15,8:35:00,,,,,,,,
plan,5,8:50:00,,plan,5,8:50:00,,,,,,,,
work,5,8:55:00,,work,5,8:55:00,,,,,,,,
meeting,65,9:00:00,,meeting,45,9:00:00,,,,,,,,
walk,10,10:05:00,,walk,20,9:45:00,,,,,,,,
video games,15,10:15:00,,video games,25,10:05:00,,,,,,,,
meeting,55,10:30:00,,meeting,60,10:30:00,,,,,,,,
video games,35,11:25:00,,video games,25,11:30:00,,,,,,,,
lunch,95,12:00:00,,lunch,80,11:55:00,,,,,,,,
work,40,13:35:00,,work,25,13:15:00,,,,,,,,
video games,20,14:15:00,,program,30,13:40:00,,,,,,,,
work,15,14:35:00,,work,25,14:10:00,,,,,,,,
churn,35,14:50:00,,tea time,15,14:35:00,,,,,,,,
work,20,15:25:00,,work,25,14:50:00,,,,,,,,
video games,20,15:45:00,,video games,30,15:15:00,,,,,,,,
program ,5,16:05:00,,break,15,15:45:00,,,,,,,,
leave,,16:10:00,,leave,,16:00:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,26-Jun-14,ACTUAL,,Date:,26-Jun-14,PLAN,,,,,,,,
wake up get ready,180,7:50:00,,wake up get ready,180,7:50:00,,,,,,,,
drive to work,15,10:50:00,,drive to work,15,10:50:00,,,,,,,,
plan,5,11:05:00,,plan,10,11:05:00,,,,,,,,
clean office,15,11:10:00,,clean office,10,11:15:00,,,,,,,,
work,10,11:25:00,,work,10,11:25:00,,,,,,,,
interview,45,11:35:00,,interview,50,11:35:00,,,,,,,,
lunch,25,12:20:00,,lunch,55,12:25:00,,,,,,,,
vg,40,12:45:00,,work,40,13:20:00,,,,,,,,
break,10,13:25:00,,juggle,20,14:00:00,,,,,,,,
work,50,13:35:00,,work,40,14:20:00,,,,,,,,
break,10,14:25:00,,meeting,65,15:00:00,,,,,,,,
work,5,14:35:00,,work,30,16:05:00,,,,,,,,
program call,30,14:40:00,,video games,40,16:35:00,,,,,,,,
work,210,15:10:00,,break,15,17:15:00,,,,,,,,
leave,,18:40:00,,work,25,17:30:00,,,,,,,,
,,,,leave,,17:55:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,25-Jun-14,ACTUAL,,Date:,25-Jun-14,PLAN,,,,,,,,
wake up get ready,65,8:25:00,,wake up get ready,65,8:25:00,,,,,,,,
drive to work,15,9:30:00,,drive to work,15,9:30:00,,,,,,,,
work,30,9:45:00,,work,30,9:45:00,,,,,,,,
video games,35,10:15:00,,video games,35,10:15:00,,,,,,,,
break,15,10:50:00,,break,15,10:50:00,,,,,,,,
program,10,11:05:00,,program,10,11:05:00,,,,,,,,
reboot,5,11:15:00,,reboot,5,11:15:00,,,,,,,,
program call,50,11:20:00,,program call,50,11:20:00,,,,,,,,
lunch,50,12:10:00,,lunch,50,12:10:00,,,,,,,,
program,15,13:00:00,,program,15,13:00:00,,,,,,,,
plan,5,13:15:00,,plan,5,13:15:00,,,,,,,,
work,80,13:20:00,,work,70,13:20:00,,,,,,,,
video games,15,14:40:00,,tea time,30,14:30:00,,,,,,,,
work,50,14:55:00,,work,80,15:00:00,,,,,,,,
program,70,15:45:00,,eat,5,16:20:00,,,,,,,,
work,40,16:55:00,,break,10,16:25:00,,,,,,,,
leave,,17:35:00,,juggle,10,16:35:00,,,,,,,,
,,,,work,50,16:45:00,,,,,,,,
,,,,leave,,17:35:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,24-Jun-14,ACTUAL,,Date:,24-Jun-14,PLAN,,,,,,,,
wake up get ready,50,9:00:00,,wake up get ready,50,9:00:00,,,,,,,,
bank,25,9:50:00,,bank,25,9:50:00,,,,,,,,
drive to work,15,10:15:00,,drive to work,15,10:15:00,,,,,,,,
program letter,60,10:30:00,,program letter,60,10:30:00,,,,,,,,
work,25,11:30:00,,work,25,11:30:00,,,,,,,,
churn,5,11:55:00,,churn,5,11:55:00,,,,,,,,
lunch,60,12:00:00,,lunch,60,12:00:00,,,,,,,,
plan,0,13:00:00,,plan,0,13:00:00,,,,,,,,
work,70,13:00:00,,work,70,13:00:00,,,,,,,,
plan,0,14:10:00,,plan,5,14:10:00,,,,,,,,
tea time,5,14:10:00,,break,25,14:15:00,,,,,,,,
will research,25,14:15:00,,work,60,14:40:00,,,,,,,,
work,80,14:40:00,,Break,10,15:40:00,,,,,,,,
eat,5,16:00:00,,Meditate,15,15:50:00,,,,,,,,
work,5,16:05:00,,work,60,16:05:00,,,,,,,,
break,10,16:10:00,,leave,,17:05:00,,,,,,,,
juggle,10,16:20:00,,,,,,,,,,,,
work,45,16:30:00,,,,,,,,,,,,
leave,,17:15:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,23-Jun-14,ACTUAL,,Date:,23-Jun-14,PLAN,,,,,,,,
wake up get ready,75,8:35:00,,wake up get ready,75,8:35:00,,,,,,,,
drive to work,15,9:50:00,,drive to work,15,9:50:00,,,,,,,,
boot machine go back to car,10,10:05:00,,boot machine go back to car,10,10:05:00,,,,,,,,
plan,10,10:15:00,,plan,10,10:15:00,,,,,,,,
bathroom,5,10:25:00,,work,5,10:25:00,,,,,,,,
meeting,65,10:30:00,,meeting,60,10:30:00,,,,,,,,
program,20,11:35:00,,program,20,11:30:00,,,,,,,,
work,25,11:55:00,,work,30,11:50:00,,,,,,,,
video,35,12:20:00,,video,30,12:20:00,,,,,,,,
work,10,12:55:00,,work,15,12:50:00,,,,,,,,
program call,50,13:05:00,,eat lunch,25,13:05:00,,,,,,,,
work,25,13:55:00,,work,45,13:30:00,,,,,,,,
break,35,14:20:00,,juggle,25,14:15:00,,,,,,,,
work,50,14:55:00,,work,45,14:40:00,,,,,,,,
meditate,20,15:45:00,,meditate,20,15:25:00,,,,,,,,
work,50,16:05:00,,work,45,15:45:00,,,,,,,,
video games,45,16:55:00,,video games ,45,16:30:00,,,,,,,,
leave,,17:40:00,,leave,,17:15:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,20-Jun-14,ACTUAL,,Date:,20-Jun-14,PLAN,,,,,,,,
wake up get ready,15,8:45:00,,wake up get ready,15,8:45:00,,,,,,,,
bike and shower,45,9:00:00,,bike and shower,45,9:00:00,,,,,,,,
siesta research,10,9:45:00,,siesta research,10,9:45:00,,,,,,,,
plan,10,9:55:00,,plan,10,9:55:00,,,,,,,,
work,40,10:05:00,,work,45,10:05:00,,,,,,,,
video,25,10:45:00,,Break,30,10:50:00,,,,,,,,
program,10,11:10:00,,work,30,11:20:00,,,,,,,,
work,35,11:20:00,,Lunch,60,11:50:00,,,,,,,,
lunch,75,11:55:00,,work,55,12:50:00,,,,,,,,
work,5,13:10:00,,break,65,13:45:00,,,,,,,,
break,10,13:15:00,,work,45,14:50:00,,,,,,,,
beer research,30,13:25:00,,Break,30,15:35:00,,,,,,,,
work,15,13:55:00,,work,40,16:05:00,,,,,,,,
churn,20,14:10:00,,Meditate,15,16:45:00,,,,,,,,
subanalytics,10,14:30:00,,work,30,17:00:00,,,,,,,,
work,55,14:40:00,,leave,,17:30:00,,,,,,,,
break,40,15:35:00,,,,17:30:00,,,,,,,,
work,15,16:15:00,,,,,,,,,,,,
program call,5,16:30:00,,,,,,,,,,,,
beer research,15,16:35:00,,,,,,,,,,,,
churn,25,16:50:00,,,,,,,,,,,,
work,25,17:15:00,,,,,,,,,,,,
churn,10,17:40:00,,,,,,,,,,,,
juggle,5,17:50:00,,,,,,,,,,,,
leave,,17:55:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,19-Jun-14,ACTUAL,,Date:,19-Jun-14,PLAN,,,,,,,,
wake up get ready,50,8:20:00,,wake up get ready,50,8:20:00,,,,,,,,
bike no shower,25,9:10:00,,bike no shower,25,9:10:00,,,,,,,,
work,25,9:35:00,,work,25,9:35:00,,,,,,,,
meeting,30,10:00:00,,meeting,30,10:00:00,,,,,,,,
work,25,10:30:00,,work,25,10:30:00,,,,,,,,
churn,10,10:55:00,,churn,10,10:55:00,,,,,,,,
video games,30,11:05:00,,video games,30,11:05:00,,,,,,,,
work,35,11:35:00,,work,35,11:35:00,,,,,,,,
lunch,70,12:10:00,,lunch,70,12:10:00,,,,,,,,
program calls,5,13:20:00,,program calls,5,13:20:00,,,,,,,,
plan,0,13:25:00,,plan,5,13:25:00,,,,,,,,
work,65,13:25:00,,work,55,13:30:00,,,,,,,,
subanalytics,20,14:30:00,,juggle,25,14:25:00,,,,,,,,
juggle,20,14:50:00,,work,50,14:50:00,,,,,,,,
meeting,65,15:10:00,,break,20,15:40:00,,,,,,,,
nap,5,16:15:00,,work,40,16:00:00,,,,,,,,
juggle,10,16:20:00,,Meditate,15,16:40:00,,,,,,,,
work,30,16:30:00,,work,35,16:55:00,,,,,,,,
prayer and meditation,30,17:00:00,,leave,,17:30:00,,,,,,,,
nap,15,17:30:00,,,,17:30:00,,,,,,,,
program call,15,17:45:00,,,,17:30:00,,,,,,,,
leave,,18:00:00,,,,17:30:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,18-Jun-14,ACTUAL,,Date:,18-Jun-14,PLAN,,,,,,,,
wake up get ready,50,9:05:00,,wake up get ready,50,9:05:00,,,,,,,,
bike and sponge bath,25,9:55:00,,bike and sponge bath,25,9:55:00,,,,,,,,
plan,5,10:20:00,,plan,5,10:20:00,,,,,,,,
program,70,10:25:00,,program,15,10:25:00,,,,,,,,
churn,5,11:35:00,,work,50,10:40:00,,,,,,,,
lunch,80,11:40:00,,churn,15,11:30:00,,,,,,,,
work,60,13:00:00,,Break,15,11:45:00,,,,,,,,
break,25,14:00:00,,work,35,12:00:00,,,,,,,,
work,45,14:25:00,,Lunch,75,12:35:00,,,,,,,,
brush teeth,5,15:10:00,,work,50,13:50:00,,,,,,,,
work,5,15:15:00,,break,25,15:05:00,,,,,,,,
video games,15,15:20:00,,work,50,15:30:00,,,,,,,,
work,35,15:35:00,,Break,15,16:20:00,,,,,,,,
video games,25,16:10:00,,work,40,16:35:00,,,,,,,,
work,50,16:35:00,,Meditate,15,17:15:00,,,,,,,,
video games,15,17:25:00,,work,30,17:30:00,,,,,,,,
juggle,10,17:40:00,,leave,,18:00:00,,,,,,,,
work,30,17:50:00,,,,,,,,,,,,
leave,,18:20:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,17-Jun-14,ACTUAL,,Date:,17-Jun-14,PLAN,,,,,,,,
wake up get ready,100,6:55:00,,wake up get ready,100,6:55:00,,,,,,,,
bike and shower,35,8:35:00,,bike and shower,35,8:35:00,,,,,,,,
plan,5,9:10:00,,plan,10,9:10:00,,,,,,,,
brush teeth,10,9:15:00,,program,20,9:20:00,,,,,,,,
program,40,9:25:00,,work,30,9:40:00,,,,,,,,
work,30,10:05:00,,break,20,10:10:00,,,,,,,,
break,30,10:35:00,,work,50,10:30:00,,,,,,,,
work,55,11:05:00,,Break,25,11:20:00,,,,,,,,
break,25,12:00:00,,work,20,11:45:00,,,,,,,,
work,20,12:25:00,,Lunch,80,12:05:00,,,,,,,,
lunch,50,12:45:00,,work,55,13:25:00,,,,,,,,
work,10,13:35:00,,break,55,14:20:00,,,,,,,,
program call,15,13:45:00,,work,45,15:15:00,,,,,,,,
work,30,14:00:00,,Break,30,16:00:00,,,,,,,,
break,55,14:30:00,,work,35,16:30:00,,,,,,,,
work,55,15:25:00,,leave,,17:05:00,,,,,,,,
break,35,16:20:00,,,,,,,,,,,,
work,20,16:55:00,,,,,,,,,,,,
leave,,17:15:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,16-Jun-14,ACTUAL,,Date:,16-Jun-14,PLAN,,,,,,,,
wake up get ready,115,7:55:00,,wake up get ready,115,7:55:00,,,,,,,,
drive to work,15,9:50:00,,drive to work,15,9:50:00,,,,,,,,
game research,15,10:05:00,,game research,15,10:05:00,,,,,,,,
work,10,10:20:00,,work,10,10:20:00,,,,,,,,
meeting,65,10:30:00,,meeting,65,10:30:00,,,,,,,,
work,10,11:35:00,,work,10,11:35:00,,,,,,,,
plan,5,11:45:00,,plan,5,11:45:00,,,,,,,,
work,15,11:50:00,,program,15,11:50:00,,,,,,,,
program,15,12:05:00,,work,20,12:05:00,,,,,,,,
work,10,12:20:00,,Lunch,55,12:25:00,,,,,,,,
lunch,60,12:30:00,,work,50,13:20:00,,,,,,,,
work,15,13:30:00,,break,55,14:10:00,,,,,,,,
video,5,13:45:00,,work,50,15:05:00,,,,,,,,
work,55,13:50:00,,Break,25,15:55:00,,,,,,,,
break,55,14:45:00,,work,30,16:20:00,,,,,,,,
work,50,15:40:00,,Meditate,20,16:50:00,,,,,,,,
break,10,16:30:00,,work,15,17:10:00,,,,,,,,
program call,30,16:40:00,,leave,,17:25:00,,,,,,,,
churn,20,17:10:00,,,,17:25:00,,,,,,,,
leave,,17:30:00,,,,17:25:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,13-Jun-14,ACTUAL,,Date:,13-Jun-14,PLAN,,,,,,,,
wake up get ready,120,7:15:00,,wake up get ready,120,7:15:00,,,,,,,,
drive to work,15,9:15:00,,drive to work,15,9:15:00,,,,,,,,
program calls,75,9:30:00,,program calls,75,9:30:00,,,,,,,,
program,15,10:45:00,,program,15,10:45:00,,,,,,,,
plan,0,11:00:00,,plan,5,11:00:00,,,,,,,,
work,50,11:00:00,,work,35,11:05:00,,,,,,,,
chat with Vinu,20,11:50:00,,Break,15,11:40:00,,,,,,,,
subanalytics,25,12:10:00,,work,35,11:55:00,,,,,,,,
lunch,60,12:30:00,,Lunch,50,12:30:00,,,,,,,,
work,55,13:30:00,,work,55,13:20:00,,,,,,,,
break,30,14:25:00,,break,30,14:15:00,,,,,,,,
work,15,14:55:00,,work,50,14:45:00,,,,,,,,
break,15,15:10:00,,Break,15,15:35:00,,,,,,,,
work,35,15:25:00,,work,40,15:50:00,,,,,,,,
break,10,16:00:00,,Meditate,15,16:30:00,,,,,,,,
work,40,16:10:00,,work,30,16:45:00,,,,,,,,
,,16:50:00,,Go Home!,,17:15:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,12-Jun-14,ACTUAL,,Date:,12-Jun-14,PLAN,,,,,,,,
wake up get ready,75,9:10:00,,wake up get ready,75,8:35:00,,,,,,,,
drive to work,20,10:25:00,,drive to work,20,9:50:00,,,,,,,,
work,25,10:45:00,,work,25,10:10:00,,,,,,,,
program,10,11:10:00,,program,10,10:35:00,,,,,,,,
subanalytics,10,11:20:00,,subanalytics,10,10:45:00,,,,,,,,
churn,5,11:30:00,,churn,5,10:55:00,,,,,,,,
program,5,11:35:00,,program,5,11:00:00,,,,,,,,
video,5,11:40:00,,video,5,11:05:00,,,,,,,,
program,5,11:45:00,,program,5,11:10:00,,,,,,,,
plan,5,11:50:00,,plan,5,11:15:00,,,,,,,,
break,15,11:55:00,,Break,15,11:20:00,,,,,,,,
work,25,12:10:00,,work,20,11:35:00,,,,,,,,
lunch,65,12:35:00,,Lunch,60,11:55:00,,,,,,,,
program call,20,13:40:00,,work,60,12:55:00,,,,,,,,
work,45,14:00:00,,Gym,75,13:55:00,,,,,,,,
meeting,30,14:45:00,,work,30,15:10:00,,,,,,,,
work,60,15:15:00,,Break,30,15:40:00,,,,,,,,
churn,20,16:15:00,,work,30,16:10:00,,,,,,,,
program,10,16:35:00,,Meditate,30,16:40:00,,,,,,,,
work,50,16:45:00,,work,35,17:10:00,,,,,,,,
leave,,17:35:00,,leave,,17:45:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,11-Jun-14,ACTUAL,,Date:,11-Jun-14,PLAN,,,,,,,,
wake up get ready,75,8:35:00,,wake up get ready,75,8:35:00,,,,,,,,
drive to work,15,9:50:00,,drive to work,15,9:50:00,,,,,,,,
program,25,10:05:00,,program,25,10:05:00,,,,,,,,
bathroom,5,10:30:00,,bathroom,5,10:30:00,,,,,,,,
plan,5,10:35:00,,plan,5,10:35:00,,,,,,,,
work,60,10:40:00,,work,45,10:40:00,,,,,,,,
juggle,15,11:40:00,,Break,25,11:25:00,,,,,,,,
meditate,15,11:55:00,,Break,15,11:50:00,,,,,,,,
work,35,12:10:00,,work,35,12:05:00,,,,,,,,
lunch,60,12:45:00,,Lunch,60,12:40:00,,,,,,,,
work,60,13:45:00,,work,60,13:40:00,,,,,,,,
break,65,14:45:00,,Gym,75,14:40:00,,,,,,,,
work,45,15:50:00,,work,35,15:55:00,,,,,,,,
break,45,16:35:00,,Break,30,16:30:00,,,,,,,,
work,70,17:20:00,,work,35,17:00:00,,,,,,,,
leave,,18:30:00,,leave,,17:35:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,10-Jun-14,ACTUAL,,Date:,10-Jun-14,PLAN,,,,,,,,
wake up get ready,30,9:10:00,,wake up get ready,30,9:10:00,,,,,,,,
drive to work,20,9:40:00,,drive to work,20,9:40:00,,,,,,,,
work,25,10:00:00,,work,25,10:00:00,,,,,,,,
plan,5,10:25:00,,plan,5,10:25:00,,,,,,,,
program,15,10:30:00,,program,15,10:30:00,,,,,,,,
work,35,10:45:00,,work,30,10:45:00,,,,,,,,
video,5,11:20:00,,break,10,11:15:00,,,,,,,,
break,5,11:25:00,,work,30,11:25:00,,,,,,,,
work,30,11:30:00,,lunch,60,11:55:00,,,,,,,,
video,80,12:00:00,,work,45,12:55:00,,,,,,,,
lunch,45,13:20:00,,prayer and meditation,30,13:40:00,,,,,,,,
work,45,14:05:00,,work,45,14:10:00,,,,,,,,
prayer and meditation,20,14:50:00,,break,15,14:55:00,,,,,,,,
work,55,15:10:00,,work,60,15:10:00,,,,,,,,
tea time,10,16:05:00,,break,30,16:10:00,,,,,,,,
work,35,16:15:00,,work,50,16:40:00,,,,,,,,
solar research,15,16:50:00,,leave,,17:30:00,,,,,,,,
work,30,17:05:00,,,,,,,,,,,,
upload pictures,5,17:35:00,,,,,,,,,,,,
leave,,17:40:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,9-Jun-14,ACTUAL,,Date:,9-Jun-14,PLAN,,,,,,,,
wake up,110,7:50:00,,wake up,110,7:50:00,,,,,,,,
bike no shower,20,9:40:00,,bike no shower,20,9:40:00,,,,,,,,
churn,5,10:00:00,,churn,5,10:00:00,,,,,,,,
work,25,10:05:00,,work,25,10:05:00,,,,,,,,
plan,5,10:30:00,,plan,5,10:30:00,,,,,,,,
work,70,10:35:00,,work,55,10:35:00,,,,,,,,
video,10,11:45:00,LW4,Break,25,11:30:00,,,,,,,,
work,45,11:55:00,,Break,15,11:55:00,,,,,,,,
lunch,45,12:40:00,,work,35,12:10:00,,,,,,,,
work,25,13:25:00,,Lunch,60,12:45:00,,,,,,,,
tea time,5,13:50:00,,work,45,13:45:00,,,,,,,,
program,35,13:55:00,,program,65,14:30:00,,,,,,,,
leave,,14:30:00,,work,40,15:35:00,,,,,,,,
,,,,Break,30,16:15:00,,,,,,,,
,,,,work,30,16:45:00,,,,,,,,
,,,,leave,,17:15:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,6-Jun-14,ACTUAL,,Date:,6-Jun-14,PLAN,,,,,,,,
wake up,95,7:00:00,,wake up,95,7:00:00,,,,,,,,
chores,35,8:35:00,,chores,35,8:35:00,,,,,,,,
"drive, breakfast, P&M",75,9:10:00,,"drive, breakfast, P&M",75,9:10:00,,,,,,,,
churn,20,10:25:00,,churn,20,10:25:00,,,,,,,,
plan,15,10:45:00,,plan,15,10:45:00,,,,,,,,
program,20,11:00:00,,program,20,11:00:00,,,,,,,,
work,50,11:20:00,,work,35,11:20:00,,,,,,,,
research,35,12:10:00,,research,30,11:55:00,,,,,,,,
work,30,12:45:00,,work,50,12:25:00,,,,,,,,
lunch,35,13:15:00,,break,20,13:15:00,,,,,,,,
work,40,13:50:00,,Lunch,20,13:35:00,,,,,,,,
program call,30,14:30:00,,work,60,13:55:00,,,,,,,,
work,30,15:00:00,,Break,10,14:55:00,,,,,,,,
meditate,15,15:30:00,,work,50,15:05:00,,,,,,,,
work,115,15:45:00,,Meditate,15,15:55:00,,,,,,,,
leave,,17:40:00,,work,20,16:10:00,,,,,,,,
,,,,leave,,16:30:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,5-Jun-14,ACTUAL,,Date:,5-Jun-14,PLAN,,,,,,,,
wake up,105,7:50:00,,wake up,105,7:50:00,,,,,,,,
bike no shower,15,9:35:00,,bike no shower,15,9:35:00,,,,,,,,
plan,10,9:50:00,,plan,10,9:50:00,,,,,,,,
program,15,10:00:00,,program,10,10:00:00,,,,,,,,
red bead research,5,10:15:00,,work,45,10:10:00,,,,,,,,
work,65,10:20:00,,churn,15,10:55:00,,,,,,,,
break,10,11:25:00,,Break,15,11:10:00,,,,,,,,
pictures research,15,11:35:00,,work,35,11:25:00,,,,,,,,
phone shit,10,11:50:00,,Lunch,55,12:00:00,,,,,,,,
lunch,70,12:00:00,,work,50,12:55:00,,,,,,,,
work,45,13:10:00,,break,25,13:45:00,,,,,,,,
break,10,13:55:00,,work,50,14:10:00,,,,,,,,
work,55,14:05:00,,2 meetings,95,15:00:00,,,,,,,,
2 meetings,95,15:00:00,,leave to meet bill,,16:35:00,,,,,,,,
leave to meet bill,,16:35:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,4-Jun-14,ACTUAL,,Date:,4-Jun-14,PLAN,,,,,,,,
wake up,85,8:40:00,,wake up,85,8:40:00,,,,,,,,
drive and shower,40,10:05:00,,drive and shower,40,10:05:00,,,,,,,,
work,75,10:45:00,,work,75,10:45:00,,,,,,,,
plan,5,12:00:00,,plan,5,12:00:00,,,,,,,,
program,20,12:05:00,,program,15,12:05:00,,,,,,,,
video,10,12:25:00,,work,35,12:20:00,,,,,,,,
work,20,12:35:00,,Lunch,50,12:55:00,,,,,,,,
video,5,12:55:00,,work,70,13:45:00,,,,,,,,
work,25,13:00:00,,break,25,14:55:00,,,,,,,,
lunch,30,13:25:00,,work,55,15:20:00,,,,,,,,
churn,15,13:55:00,,Break,20,16:15:00,,,,,,,,
video,10,14:10:00,,work,30,16:35:00,,,,,,,,
churn,5,14:20:00,,unplanned,30,17:05:00,,,,,,,,
work,70,14:25:00,,expenditures research,45,17:35:00,,,,,,,,
video,10,15:35:00,,Meditate,15,18:20:00,,,,,,,,
juggle,15,15:45:00,,work,25,18:35:00,,,,,,,,
break,5,16:00:00,,eat dinner,15,19:00:00,,,,,,,,
work,50,16:05:00,,break,10,19:15:00,,,,,,,,
video,30,16:55:00,,work,20,19:25:00,,,,,,,,
work,10,17:25:00,,leave,,19:45:00,,,,,,,,
school research,15,17:35:00,,,,,,,,,,,,
expenditures research,20,17:50:00,,,,,,,,,,,,
work,30,18:10:00,,,,,,,,,,,,
diabetes research,10,18:40:00,,,,,,,,,,,,
work,35,18:50:00,,,,,,,,,,,,
video,30,19:25:00,,,,,,,,,,,,
leave,,19:55:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,3-Jun-14,ACTUAL,,Date:,3-Jun-14,PLAN,,,,,,,,
wake up,105,7:50:00,,wake up,105,7:50:00,,,,,,,,
bike and shower,40,9:35:00,,bike and shower,40,9:35:00,,,,,,,,
churn,5,10:15:00,,churn,5,10:15:00,,,,,,,,
plan,5,10:20:00,,plan,5,10:20:00,,,,,,,,
program,10,10:25:00,,program,15,10:25:00,,,,,,,,
work,70,10:35:00,,work,30,10:40:00,,,,,,,,
lunch,80,11:45:00,,break,10,11:10:00,,,,,,,,
program calls,55,13:05:00,,work,40,11:20:00,,,,,,,,
work,50,14:00:00,,meditate,15,12:00:00,,,,,,,,
meditation,15,14:50:00,,work,20,12:15:00,,,,,,,,
juggle,15,15:05:00,,lunch,60,12:35:00,,,,,,,,
work,60,15:20:00,,work,45,13:35:00,,,,,,,,
bathroom,10,16:20:00,,break,30,14:20:00,,,,,,,,
work,70,16:30:00,,work,45,14:50:00,,,,,,,,
break,15,17:40:00,,program,35,15:35:00,,,,,,,,
work,55,17:55:00,,work,40,16:10:00,,,,,,,,
leave,,18:50:00,,unplanned,30,16:50:00,,,,,,,,
,,,,work,30,17:20:00,,,,,,,,
,,,,meditate,10,17:50:00,,,,,,,,
,,,,"""leave"" for alanon meeting",,18:00:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,2-Jun-14,ACTUAL,,Date:,2-Jun-14,PLAN,,,,,,,,
wake up,90,8:20:00,,wake up,90,8:20:00,,,,,,,,
drive to work,20,9:50:00,,drive to work,20,9:50:00,,,,,,,,
program,10,10:10:00,,program,10,10:10:00,,,,,,,,
churn,5,10:20:00,,churn,5,10:20:00,,,,,,,,
