Date:,25-Sep-14,ACTUAL,,Date:,25-Sep-14,ACTUAL,,,,,,,,
drive to work,15,9:30:00,,drive to work,15,9:30:00,,,,,,,,
eat,10,9:45:00,,eat,10,9:45:00,,,,,,,,
churn,10,9:55:00,,churn,10,9:55:00,,,,,,,,
subanalytics,15,10:05:00,,subanalytics,15,10:05:00,,,,,,,,
plan,5,10:20:00,,plan,5,10:20:00,,,,,,,,
program,5,10:25:00,,program,5,10:25:00,,,,,,,,
meeting,65,10:30:00,,meeting,60,10:30:00,,,,,,,,
bathroom,10,11:35:00,,work,35,11:30:00,,,,,,,,
churn,10,11:45:00,,Lunch,60,12:05:00,,,,,,,,
subanalytics,10,11:55:00,,work,75,13:05:00,,,,,,,,
lunch,60,12:05:00,,gym,50,14:20:00,,,,,,,,
synopses,5,13:05:00,,work,65,15:10:00,,,,,,,,
work,15,13:10:00,,break,35,16:15:00,,,,,,,,
bathroom,10,13:25:00,,work,60,16:50:00,,,,,,,,
work,45,13:35:00,,leave,,17:50:00,,,,,,,,
program,30,14:20:00,,,,,,,,,,,,
gym,40,14:50:00,,,,,,,,,,,,
work,95,15:30:00,,,,,,,,,,,,
program,25,17:05:00,,,,,,,,,,,,
work,10,17:30:00,,,,,,,,,,,,
leave,,17:40:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,12-Sep-14,ACTUAL,,Date:,12-Sep-14,PLAN,,,,,,,,
wake up get ready,90,8:15:00,,wake up get ready,90,8:15:00,,,,,,,,
drive to work,20,9:45:00,,drive to work,20,9:45:00,,,,,,,,
work,5,10:05:00,,work,5,10:05:00,,,,,,,,
eat,10,10:10:00,,eat,10,10:10:00,,,,,,,,
churn,30,10:20:00,,churn,30,10:20:00,,,,,,,,
plan,0,10:50:00,,plan,5,10:50:00,,,,,,,,
work,40,10:50:00,,work,75,10:55:00,,,,,,,,
program,15,11:30:00,,break,30,12:10:00,,,,,,,,
work,20,11:45:00,,work,60,12:40:00,,,,,,,,
synopses,55,12:05:00,,lunch,55,13:40:00,,,,,,,,
eat,10,13:00:00,,program,75,14:35:00,,,,,,,,
work,70,13:10:00,,work,40,15:50:00,,,,,,,,
lunch,40,14:20:00,,research,50,16:30:00,,,,,,,,
program,40,15:00:00,,work,40,17:20:00,,,,,,,,
eat,10,15:40:00,,leave,,18:00:00,,,,,,,,
work,70,15:50:00,,,,,,,,,,,,
synopses,35,17:00:00,,,,,,,,,,,,
leave,,17:35:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,11-Sep-14,ACTUAL,,Date:,11-Sep-14,PLAN,,,,,,,,
wake up get ready,30,9:05:00,,wake up get ready,30,9:05:00,,,,,,,,
drive to work,15,9:35:00,,drive to work,15,9:35:00,,,,,,,,
gym,50,9:50:00,,gym,50,9:50:00,,,,,,,,
work,20,10:40:00,,work,20,10:40:00,,,,,,,,
meeting,35,11:00:00,,meeting,35,11:00:00,,,,,,,,
program call,15,11:35:00,,program call,15,11:35:00,,,,,,,,
plan,5,11:50:00,,plan,5,11:50:00,,,,,,,,
work,50,11:55:00,,work,100,11:55:00,,,,,,,,
program,55,12:45:00,,action plan research,70,13:35:00,,,,,,,,
work,70,13:40:00,,churn,25,14:45:00,,,,,,,,
synopses,25,14:50:00,,work,105,15:10:00,,,,,,,,
action plan research,60,15:15:00,,program,50,16:55:00,,,,,,,,
eat,10,16:15:00,,work,50,17:45:00,,,,,,,,
work,135,16:25:00,,leave,,18:35:00,,,,,,,,
leave,,18:40:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,10-Sep-14,ACTUAL,,Date:,10-Sep-14,PLAN,,,,,,,,
wake up get ready,45,9:05:00,,wake up get ready,45,9:05:00,,,,,,,,
drive to work,15,9:50:00,,drive to work,15,9:50:00,,,,,,,,
plan,10,10:05:00,,plan,5,10:05:00,,,,,,,,
work,25,10:15:00,,work,50,10:10:00,,,,,,,,
bathroom,10,10:40:00,,program,30,11:00:00,,,,,,,,
work,10,10:50:00,,work,50,11:30:00,,,,,,,,
program,35,11:00:00,,unscheduled,25,12:20:00,,,,,,,,
work,30,11:35:00,,work,50,12:45:00,,,,,,,,
program  calls,60,12:05:00,,program,55,13:35:00,,,,,,,,
churn,30,13:05:00,,work,55,14:30:00,,,,,,,,
work,75,13:35:00,,baby shower,90,15:25:00,,,,,,,,
program,65,14:50:00,,work,45,16:55:00,,,,,,,,
baby shower,90,15:55:00,,research,30,17:40:00,,,,,,,,
program,60,17:25:00,,leave,,18:10:00,,,,,,,,
work,30,18:25:00,,,,,,,,,,,,
plan,5,18:55:00,,,,,,,,,,,,
leave,,19:00:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,9-Sep-14,ACTUAL,,Date:,9-Sep-14,PLAN,,,,,,,,
wake up get ready,205,6:55:00,,wake up get ready,205,6:55:00,,,,,,,,
drive to work,15,10:20:00,,drive to work,15,10:20:00,,,,,,,,
gym,20,10:35:00,,gym,20,10:35:00,,,,,,,,
work,50,10:55:00,,work,50,10:55:00,,,,,,,,
expenditures research,10,11:45:00,,expenditures research,10,11:45:00,,,,,,,,
plan,5,11:55:00,,plan,5,11:55:00,,,,,,,,
subanalytics,30,12:00:00,,subanalytics,35,12:00:00,,,,,,,,
work,40,12:30:00,,work,30,12:35:00,,,,,,,,
lunch,45,13:10:00,,lunch,45,13:05:00,,,,,,,,
work,60,13:55:00,,work,45,13:50:00,,,,,,,,
subanalytics,5,14:55:00,,unscheduled,30,14:35:00,,,,,,,,
synopses,40,15:00:00,,work,30,15:30:00,,,,,,,,
work,45,15:40:00,,program,55,16:00:00,,,,,,,,
program,45,16:25:00,,work,30,16:55:00,,,,,,,,
work,40,17:10:00,,eat,15,17:25:00,,,,,,,,
subanalytics,10,17:50:00,,churn,20,17:40:00,,,,,,,,
program,15,18:00:00,,program,65,18:00:00,,,,,,,,
leave,,18:15:00,,leave,,19:05:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,8-Sep-14,ACTUAL,,Date:,8-Sep-14,PLAN,,,,,,,,
wake up get ready,120,7:05:00,,wake up get ready,120,7:05:00,,,,,,,,
drive to work,15,9:05:00,,drive to work,15,9:05:00,,,,,,,,
work,15,9:20:00,,work,15,9:20:00,,,,,,,,
gym,40,9:35:00,,gym,40,9:35:00,,,,,,,,
plan,10,10:15:00,,plan,10,10:15:00,,,,,,,,
work,10,10:25:00,,churn,5,10:25:00,,,,,,,,
meeting,65,10:35:00,,meeting,65,10:30:00,,,,,,,,
work,20,11:40:00,,work,25,11:35:00,,,,,,,,
churn,25,12:00:00,,lunch,80,12:00:00,,,,,,,,
program,40,12:25:00,,work,60,13:20:00,,,,,,,,
eat,10,13:05:00,,break,30,14:20:00,,,,,,,,
work,140,13:15:00,,work,50,14:50:00,,,,,,,,
program call,15,15:35:00,,break,30,15:40:00,,,,,,,,
work,50,15:50:00,,work,45,16:10:00,,,,,,,,
vacation research,70,16:40:00,,expenditures research,25,16:55:00,,,,,,,,
leave,,17:50:00,,leave,,17:20:00,,,,,,,,
,,,,,,,,,,,,,,
Date:,5-Sep-14,ACTUAL,,Date:,5-Sep-14,PLAN,,,,,,,,
wake up get ready,60,8:55:00,,wake up get ready,60,8:55:00,,,,,,,,
drive to work,15,9:55:00,,drive to work,15,9:55:00,,,,,,,,
bathroom,5,10:10:00,,bathroom,5,10:10:00,,,,,,,,
work,15,10:15:00,,work,15,10:15:00,,,,,,,,
meeting,30,10:30:00,,meeting,30,10:30:00,,,,,,,,
work,10,11:00:00,,work,10,11:00:00,,,,,,,,
program,35,11:10:00,,program,35,11:10:00,,,,,,,,
work,20,11:45:00,,work,20,11:45:00,,,,,,,,
walk,10,12:05:00,,walk,10,12:05:00,,,,,,,,
program,55,12:15:00,,program,55,12:15:00,,,,,,,,
lunch,45,13:10:00,,lunch,45,13:10:00,,,,,,,,
work,10,13:55:00,,work,10,13:55:00,,,,,,,,
plan,5,14:05:00,,plan,5,14:05:00,,,,,,,,
program,35,14:10:00,,program,35,14:10:00,,,,,,,,
work,45,14:45:00,,work,40,14:45:00,,,,,,,,
break,25,15:30:00,,break,30,15:25:00,,,,,,,,
work,55,15:55:00,,work,40,15:55:00,,,,,,,,
churn,10,16:50:00,,expenditures research,25,16:35:00,,,,,,,,
juggle,35,17:00:00,,break,30,17:00:00,,,,,,,,
